product_name,SKU,Product Barcode/ASIN/EAN,price,quantity
PRIMA STAINLESS STEEL 32OZ TEA POT 1L,17002C,5038673170022,4.03,6
PRIMA TWO HANDLE DEEP COLANDER 18CM,17036C,5038673170367,1.16,12
PRIMA STAINLESS STEEL OVAL PLATE 20CM,17042C,5038673170428,1.03,12
PRIMA STAINLESS STEEL OVAL PLATE 25CM,17043C,5038673170435,1.64,12
PRIMA STAINLESS STEEL OVAL PLATE 30CM,17044C,5038673170442,1.77,12
PRIMA STAINLESS STEEL OVAL PLATE 35CM,17045C,5038673170459,2.45,10
PRIMA EGG POACHER SET WITH NON-STICK INSERTS 7PC,17113C,5038673171135,9.5,2
PRIMA STAINLESS STEEL CHAMPAGNE BUCKET,17184C,5038673171845,3.77,3
COPPER STEEL BALTI DISH 17.5CM,17205C,5038673172057,6.8,3
PRIMA STAINLESS STEEL OVAL BOWL 25CM,17208C,5038673172088,1.34,12
PRIMA STAINLESS STEEL OVAL BOWL 30CM,17209C,5038673172095,1.34,12
PRIMA HOT & COLD THERMAL FLASK 1.8L,17243C,5038673172439,8.14,6
PRIMA STAINLESS STEEL 8 HOOK KITCHEN TOOL HANGER,17244C,5038673172446,1.35,12
PRIMA RICE SPOON PANJA 22CM,17247C,5038673172477,0.68,24
PRIMA STAINLESS STEEL ROASTING TRAY WITH RACK 30CM x 23CM,17249C,5038673172491,3.54,12
INSULATED VACUUM BOTTLE ALTERNATIVE 500ML ASSORTED COLOURS,17255C,5038673172552,4.37,12
PRIMA STAINLESS STEEL TEA BAG SQUEEZER,18010C,5038673180106,0.68,12
PRIMA STAINLESS STEEL SALT & PEPPER SHAKER 2PC,18021C,5038673180212,1.3,12
COPPER STEEL HANDI DISH 15CM,17202C,5038673172026,6.14,6
PRIMA CHROME PLATED WIRE FRUIT BASKET,18035C,5038673180359,2.21,6
PRIMA CHROME OVALS FRUIT BASKET,18036C,5038673180366,3.75,12
PRIMA KITCHEN SCALE 1KG ASSORTED COLOURS CDU,18161C,5038673181615,1.52,12
PRIMA ROUND MECHANICAL KITCHEN SCALE 5KG,18162C,5038673181622,5.31,12
PRIMA RETRO KITCHEN SCALE 5KG,18163C,5038673181639,5.1,12
PRIMA MECHANICAL KITCHEN SCALE 3KG,18164C,5038673181646,3.9,12
PRIMA ELECTRONIC KITCHEN SCALE 5KG,18168C,5038673181684,5.31,12
PRIMA DOUBLE FOOD WARMER 28 X 15 X 5.5CM,18175C,5038673181752,3.68,12
PRIMA FOOD WARMER 17.5C X 5.5CM,18176C,5038673181769,2.61,12
PRIMA NON-STICK EGG RINGS 2PC,18263C,5038673182636,0.96,48
PRIMA HEAVY DUTY POTATO RICER,18272C,5038673182728,3.76,12
PRIMA KITCHEN TOOL HANGER WITH MOVABLE HOOKS,18281C,5038673182810,0.89,12
PRIMA RED & YELLOW SAUCE DISPENSER SET 2PC,18296C,5038673182964,0.96,12
MARKSMAN OVER THE DOOR 6 HOOK HANGER,18322C,5038673183220,2.36,24
PRIMA SINK STRAINER & STOPPER 2 PACK,18330C,5038673183305,0.63,24
PRIMA MAGNETIC CAN OPENER CDU,18340C,5038673183404,2.05,12
PRIMA SPLATTER COVER 29CM,18348C,5038673183480,1.41,12
PRIMA PAN SPLATTER COVER 29CM,18367C,5038673183671,1.63,24
PRIMA STAINLESS STEEL FOUR-SIDED GRATER 10'',18379C,5038673183794,4.04,12
PRIMA SILICONE TONGS 12'',18384C,5038673183848,1.85,24
PRIMA 9 SETTING PASTA MAKER,18399C,5038673183992,14.15,2
PRIMA 2 BLADE POTATO CHIPPER,18427C,5038673184272,6.37,4
PRIMA WOODEN SPOON SET ASSORTED SIZES 3PC,18474C,5038673184746,1.37,12
PRIMA STAINLESS STEEL OVAL GRATER 9'',18492C,5038673184920,1.67,12
PRIMA VEGETABLE GRATER WITH COVER,18495C,5038673184951,3.4,12
PRIMA METAL BBQ TONGS 9'',18503C,5038673185033,0.89,12
PRIMA METAL STRAINER 12CM,18508C,5038673185088,0.82,12
PRIMA METAL STRAINER 16CM,18510C,5038673185101,0.95,12
PRIMA ROLLING PIN WITH HANDLES SMALL,18523C,5038673185231,1.1,24
PRIMA REVOLVING ROLLING PIN SMALL,18526C,5038673185262,1.16,24
PRIMA REVOLVING ROLLING PIN MEDIUM,18527C,5038673185279,1.35,24
PRIMA REVOLVING ROLLING PIN LARGE,18528C,5038673185286,1.5,24
PRIMA PLASTIC CUTTING BOARD 25CM X 15CM,18532C,5038673185323,0.93,24
PRIMA PLASTIC CUTTING BOARD 30CM X 20CM,18533C,5038673185330,1.29,24
PRIMA PLASTIC CUTTING BOARD 37CM X 23CM,18535C,5038673185354,1.94,24
PRIMA BAMBOO CUTTING BOARD 30CM X 20CM,18536C,5038673185361,1.35,24
PRIMA BAMBOO CHOPPING BOARD 34CM X 24CM,18538C,5038673185385,1.85,24
PRIMA SALAD TONGS GREEN,18541C,5038673185415,0.63,12
PRIMA SALAD TONGS BLACK/GREEN,18542C,5038673185422,0.82,12
PRIMA T-SHAPED DOUGH ROLLER,18543C,5038673185439,1.31,12
PRIMA DOUBLE HOOK OVER-DOOR HANGER,18544C,5038673185446,0.95,12
PRIMA STAINLESS STEEL OIL DISPENSER 750ML,18547C,5038673185477,5.66,4
PRIMA STAINLESS STEEL ICE TONGS 6.5'',18554C,5038673185545,0.62,12
PRIMA STAINLESS STEEL MINI FLAT GRATER,18555C,5038673185552,0.58,12
PRIMA STAINLESS STEEL 3-SIDED GRATER 4.5'',18557C,5038673185576,0.55,12
PRIMA STAINLESS STEEL MULTI USE PEELER,18558C,5038673185583,0.66,12
PRIMA TURKEY BASTER 1OZ/30ML,18562C,5038673185620,1.04,12
PRIMA WOODEN HONEY DIPPER,18565C,5038673185651,0.66,12
PRIMA SUBBER SINK STOPPER,18566C,5038673185668,0.66,12
PRIMA STAINLESS STEEL SINK STRAINER 2PC,18570C,5038673185705,0.55,12
PRIMA NON-STICK PIZZA PAN 32 X 1.2CM,15111C,5038673151113,1.77,24
PRIMA ALUMINIUM NUT CRACKER,18020C,5038673180205,1.17,12
PRIMA MULTI-PURPOSE NYLON FOOD TONG 12'',18028C,5038673180281,0.81,12
PRIMA PLASTIC FOOD TONGS 9'',18030C,5038673180304,0.76,12
PRIMA STAINLESS STEEL ICE CUBE CLIPPER,18031C,5038673180311,0.62,12
PRIMA CAN COVERS 3PC,18491C,5038673184913,0.76,12
PRIMA SPLATTER GUARD 29CM,18518C,5038673185187,0.93,24
